Trial,category,sub_trial,x1,x2,x3,x4,x5,x6,x7,x8,average,average_circ,bincorrect,bincorrect_circ
25,-75.0,25,-85,-90,-83,-78,-42,-74,-69,-54,-71.875,-72.02117629105261,False,False
26,-75.0,26,33,-82,-90,-82,-50,-86,-71,-86,-64.25,-70.0892831029694,False,False
27,-75.0,27,-63,-81,-76,8,-82,-81,-90,-81,-68.25,-71.0298469192702,False,False
28,-75.0,28,-88,-83,-89,-79,87,-86,-87,-19,-55.5,-74.33824618202881,False,False
29,-75.0,29,-42,-82,-90,-79,-79,-85,-70,-47,-71.75,-71.9539451397564,False,False
30,-75.0,30,-57,-80,-82,-66,-66,82,-79,-90,-54.75,-70.44171404616314,False,False
31,-75.0,31,-84,-76,-72,-56,-89,-79,-74,-67,-74.625,-74.64441861142191,False,False
32,-75.0,32,79,-89,-89,-80,-90,-56,-67,-57,-56.125,-71.28670744190657,False,False
33,-75.0,33,-80,-80,-81,-87,-64,-70,-55,-69,-73.25,-73.27111303043463,False,False
34,-75.0,34,-87,-81,-54,-71,80,-86,-76,-68,-55.375,-70.67224575150651,False,False
35,-75.0,35,-83,-82,7,-56,-66,-89,-90,-89,-68.5,-71.14945399560537,False,False
36,-75.0,36,-81,-84,-90,-86,-39,-84,-35,-80,-72.375,-72.886298548675,False,False
37,-75.0,37,-87,-81,-69,-76,48,-66,-90,-81,-62.75,-71.34989597881012,False,False
38,-75.0,38,-87,-84,-87,9,-83,-88,-56,-71,-68.375,-71.27026658164783,False,False
39,-75.0,39,-88,-63,-77,-77,-73,-65,-51,-70,-70.5,-70.51329687958571,False,False
40,-75.0,40,-88,-64,-83,-52,-60,-80,-87,88,-53.25,-70.3727529302666,False,False
41,-75.0,41,-81,-54,-85,-79,-88,-88,84,-63,-56.75,-73.76948421179289,False,False
42,-75.0,42,-81,75,-78,-79,-82,-41,-82,-86,-56.75,-71.1538632107521,False,False
43,-75.0,43,-74,-76,-84,-79,-59,-74,-87,81,-56.5,-72.46867304779522,False,False
44,-75.0,44,-86,-53,-87,-78,-77,86,-51,-83,-53.625,-70.28658316282787,False,False
45,-75.0,45,-89,-48,13,-82,-89,-82,-80,-80,-67.125,-70.39306402339949,False,False
46,-75.0,46,-80,-83,-88,-34,-78,88,-65,-87,-53.375,-70.89524010096208,False,False
47,-75.0,47,-89,-89,-73,-89,-57,79,84,-90,-40.5,-72.76272556351417,False,False
48,-75.0,48,-69,-86,-80,-85,-68,-84,-5,-82,-69.875,-71.5674957170307,False,False
49,-75.0,49,-72,-81,-71,-67,-76,-90,-76,-26,-69.875,-70.35487398315507,False,False
50,-75.0,50,30,-89,-85,-90,-79,-85,-73,-88,-69.875,-76.2284256837777,False,False
51,-75.0,51,-72,68,-61,-86,-68,-85,-76,-88,-58.5,-71.14683940469493,False,False
52,-75.0,52,-82,-75,-42,68,-87,-90,-80,-79,-58.375,-71.15808331762463,False,False
53,-75.0,53,-56,-88,70,-78,-83,-87,-73,-87,-60.25,-74.03563388432406,False,False
54,-75.0,54,-71,-51,-68,-79,-48,-82,-73,-89,-70.125,-70.18133049245911,False,False
55,-75.0,55,-83,-82,74,-77,-79,-85,-45,-78,-56.875,-70.94512500414635,False,False
56,-75.0,56,-80,-85,-41,-89,-82,-80,-89,67,-59.875,-72.87158936398731,False,False
57,-75.0,57,-85,-90,45,-72,-90,-62,-85,-83,-65.25,-73.74706798603587,False,False
58,-75.0,58,-74,-86,-76,-59,-79,-89,-11,-86,-70.0,-71.24476643493539,False,False
59,-75.0,59,-90,-78,-59,-63,-72,-89,-80,-87,-77.25,-77.27872795803987,False,False
60,-75.0,60,-87,-75,-86,-56,-77,15,-83,-86,-66.875,-70.32807248796611,False,False
61,-75.0,61,-88,-45,-90,-81,-80,-89,-64,83,-56.75,-73.54336490099928,False,False
62,-75.0,62,-59,-66,-90,-84,-84,-75,-79,64,-59.125,-70.83438934815533,False,False
63,-75.0,63,-86,-83,81,-1,-88,-79,-86,-86,-53.5,-71.07321964002595,False,False
64,-75.0,64,84,-84,-90,-57,89,-82,-87,-84,-38.875,-74.40004668286991,False,False
65,-75.0,65,-59,-86,-85,-74,-82,-87,81,-69,-57.625,-73.94492716813053,False,False
66,-75.0,66,-83,-71,89,-74,-64,-68,-79,-75,-53.125,-70.55193347889066,False,False
67,-75.0,67,-61,-80,-79,-85,-90,-87,-51,-41,-71.75,-71.92218130280061,False,False
68,-75.0,68,-83,-62,-2,-74,-88,-81,-72,-85,-68.375,-70.17339686582868,False,False
69,-75.0,69,-39,-84,-77,-75,-83,-90,-71,-69,-73.5,-73.72218680976214,False,False
70,-75.0,70,-90,-75,-65,-72,50,-88,-78,-81,-62.375,-71.35128876966887,False,False
71,-75.0,71,-33,-82,-73,-87,-79,-55,-78,-77,-70.5,-70.81783730940865,False,False
72,-75.0,72,-72,-90,-88,-64,-26,-76,-85,-56,-69.625,-70.06216753131896,False,False
73,-75.0,73,-81,-83,-57,-84,-23,-86,-72,-71,-69.625,-70.22305833183614,False,False
74,-75.0,74,-12,-89,-86,-83,-83,-75,-63,-78,-71.125,-72.39112430129502,False,False
75,-75.0,75,-88,-85,-90,25,-78,-73,-65,-73,-65.875,-70.5968475784318,False,False
76,-75.0,76,-77,84,-80,-88,-81,-87,-67,-77,-59.125,-76.87908047457245,False,False
77,-75.0,77,-67,-90,51,-78,-65,-85,-90,-73,-62.125,-71.24943340922673,False,False
78,-75.0,78,-78,-78,-85,-80,-58,-78,-49,-71,-72.125,-72.20176330744005,False,False
79,-75.0,79,-35,-79,-89,85,-84,-89,-82,-78,-56.375,-73.99684053886698,False,False
80,-75.0,80,-87,-72,-89,-86,-90,-66,64,-90,-64.5,-77.7571104846858,False,False
81,-75.0,81,-85,-90,-88,7,-49,-77,-87,-78,-68.375,-71.07531245870175,False,False
82,-75.0,82,-74,-81,-33,-89,-89,-66,-88,-80,-75.0,-75.43112739121612,False,False
83,-75.0,83,-81,-58,-79,-81,-79,-87,3,-89,-68.875,-71.19401331362717,False,False
84,-75.0,84,-69,-84,-87,-81,-84,78,-84,-32,-55.375,-70.4544391341298,False,False
85,-75.0,85,-86,-80,-82,-29,-81,-34,-83,-84,-69.875,-70.54892701627038,False,False
86,-75.0,86,-81,-70,-90,-50,-87,-16,-76,-84,-69.25,-70.16025897307047,False,False
87,-75.0,87,-70,-82,-83,-76,32,-87,-90,-61,-64.625,-70.32183260425425,False,False
88,-75.0,88,-88,-45,-80,-82,-80,59,-90,-78,-60.5,-71.36654077094204,False,False
89,-75.0,89,-73,-89,-80,-87,-88,-89,82,-70,-61.75,-79.70681513008796,False,False
90,-75.0,90,-65,-87,87,88,-89,-89,-89,-71,-39.375,-76.28450257097592,False,False
91,-75.0,91,80,77,-89,-66,-88,-79,-78,-81,-40.5,-70.09122793450742,False,False
92,-75.0,92,-62,87,-86,-75,-87,-84,-59,-88,-56.75,-74.71384208104526,False,False
93,-75.0,93,-57,86,-71,-83,-89,-84,-88,-45,-53.875,-70.63727175713639,False,False
94,-75.0,94,-77,-77,-73,86,-70,-86,-85,-54,-54.5,-71.42432588671363,False,False
95,-75.0,95,-90,-77,9,-89,-88,-83,-87,77,-53.5,-71.00344448839272,False,False
96,-75.0,96,-79,-77,-89,-84,-38,-86,70,-84,-58.375,-71.84774256271255,False,False
97,-75.0,97,-83,-52,-74,-73,-86,72,-68,-90,-56.75,-70.04864590597217,False,False
98,-75.0,98,-72,-88,-68,-26,-78,-74,-64,-88,-69.75,-70.20933426824188,False,False
99,-75.0,99,-66,-57,86,-76,-89,-84,-73,-70,-53.625,-70.21997301831847,False,False
100,-75.0,100,-71,-56,-61,-72,-63,-90,-70,-78,-70.125,-70.09684941229105,False,False
101,-75.0,101,-78,-87,-42,-66,-86,-71,-45,-90,-70.625,-70.7865535346753,False,False
102,-75.0,102,-57,-44,-74,-81,-59,-89,-83,-90,-72.125,-72.22540716164832,False,False
103,-75.0,103,-89,-81,-78,-88,-72,-86,-13,-85,-74.0,-75.41120175029104,False,False
104,-75.0,104,-81,53,-90,-80,-52,-87,-83,-79,-62.375,-72.13737369056415,False,False
105,-75.0,105,-61,-75,-84,-89,-68,-80,-26,-77,-70.0,-70.48403693127567,False,False
106,-75.0,106,-87,-79,-64,32,-82,-89,-78,-72,-64.875,-70.63539607299272,False,False
107,-75.0,107,-81,-86,-65,-77,-53,-68,-85,-50,-70.625,-70.66672946075613,False,False
108,-75.0,108,-88,-72,-78,82,89,-87,-83,-87,-40.5,-76.61179317659405,False,False
109,-75.0,109,82,-70,76,-87,-77,-88,-73,-86,-40.375,-70.31172440670741,False,False
110,-75.0,110,-76,-83,26,-89,-89,-74,-80,-57,-65.25,-70.03881832574352,False,False
111,-75.0,111,-39,-62,-79,-70,-79,-80,-77,-87,-71.625,-71.8205892069583,False,False
112,-75.0,112,-66,-85,-81,-70,-87,-52,-65,-64,-71.25,-71.25294220192438,False,False
113,-75.0,113,-85,-56,-89,-79,-76,-82,-45,-89,-75.125,-75.30403154564911,False,False
114,-75.0,114,-85,-49,-82,-88,-81,-83,-66,-77,-76.375,-76.49581032945532,False,False
115,-75.0,115,-82,-88,-77,-79,67,-83,-58,-74,-59.25,-71.86953229548017,False,False
116,-75.0,116,-80,-80,-89,-84,63,-87,-60,-90,-63.375,-76.04374842599776,False,False
117,-75.0,117,-63,-89,-90,-69,-78,-36,-74,-81,-72.5,-72.75076405521307,False,False
118,-75.0,118,-87,-53,-84,-90,59,-52,-88,-86,-60.125,-70.77977008713471,False,False
119,-75.0,119,-88,-71,-79,-80,-62,67,-83,-86,-60.25,-73.14325896413112,False,False
120,-75.0,120,-74,-79,-85,-77,-81,-69,83,-54,-54.5,-70.48362629726373,False,False
121,-75.0,121,-81,-84,-62,-90,-50,-85,-84,-59,-74.375,-74.45867614699675,False,False
122,-75.0,122,-68,-83,-88,-50,-90,-82,-66,80,-55.875,-71.32923231366692,False,False
123,-75.0,123,-78,-66,-80,79,-55,-88,-87,-67,-55.25,-70.17474096992419,False,False
124,-75.0,124,-90,-70,-81,-59,-87,-54,-55,-67,-70.375,-70.35031366075823,False,False
125,-75.0,125,-72,-83,-80,-40,88,-90,-81,-75,-54.125,-71.76196042008873,False,False
126,-75.0,126,-51,-89,17,-90,-87,-82,-90,-66,-67.25,-70.98331734741757,False,False
127,-75.0,127,-67,78,-74,-88,-84,-86,-64,-68,-56.625,-71.66048534404581,False,False
128,-75.0,128,-83,-84,-84,-79,-67,-70,-67,-60,-74.25,-74.2570356173643,False,False
129,-75.0,129,-88,-48,-88,-88,-78,27,-84,-80,-65.875,-70.99454163791933,False,False
130,-75.0,130,-44,-86,-87,-78,-68,-76,79,-85,-55.625,-70.79715189400872,False,False
131,-75.0,131,-89,-80,-45,-65,-83,-76,-83,-82,-75.375,-75.53760128381079,False,False
132,-75.0,132,-85,-32,-84,-90,-60,-80,-43,-85,-69.875,-70.2442218868536,False,False
133,-75.0,133,-84,-71,-84,-73,-84,-78,62,-75,-60.875,-72.5631343523705,False,False
134,-75.0,134,-77,-90,-69,-54,-84,-61,-79,-63,-72.125,-72.12689915107245,False,False
135,-75.0,135,-41,-75,-87,-87,-75,-70,-66,-78,-72.375,-72.5333335495075,False,False
136,-75.0,136,-84,-88,-84,-77,-90,-86,-50,34,-65.625,-71.94423878390053,False,False
137,-75.0,137,-86,-78,-82,-61,12,-86,-80,-84,-68.125,-71.37382753334978,False,False
138,-75.0,138,-86,-69,-62,-55,-70,-82,-69,-83,-72.0,-72.0057319627416,False,False
139,-75.0,139,-50,-88,-85,-88,-88,-23,-53,-89,-70.5,-71.13671815466479,False,False
140,-75.0,140,-86,-80,-71,-83,-72,-31,-89,-83,-74.375,-74.86120183418808,False,False
141,-75.0,141,-70,-81,-78,-63,-74,-88,-86,-71,-76.375,-76.37661673708341,False,False
142,-75.0,142,-36,-90,-88,78,-71,-76,-73,-86,-55.25,-70.11682533177955,False,False
143,-75.0,143,-82,-86,-70,-88,-87,-48,-90,1,-68.75,-70.86949949663988,False,False
144,-75.0,144,-70,-79,-77,-75,-69,83,-76,-73,-54.5,-70.47959853176387,False,False
145,-75.0,145,-49,-64,-90,-89,-58,-61,-86,-82,-72.375,-72.40289967405673,False,False
146,-75.0,146,-89,-66,-84,-87,-88,-88,66,-66,-62.75,-76.07344186523333,False,False
147,-75.0,147,-85,-69,-86,-74,-54,-88,-89,-85,-78.75,-78.83623041028356,False,False
148,-75.0,148,-78,-83,-68,-64,-78,-54,-80,-85,-73.75,-73.7897276303398,False,False
149,-75.0,149,-61,-74,-69,-90,-84,87,-85,-78,-56.75,-74.69495244527974,False,False
150,-75.0,150,-26,-78,-69,-81,-64,-82,-84,-75,-69.875,-70.37794079330388,False,False
151,-75.0,151,-79,-54,-85,-88,-86,-82,68,-77,-60.375,-73.63759538744512,False,False
152,-75.0,152,-86,-18,-59,-86,-76,-69,-86,-74,-69.25,-70.03775896494973,False,False
153,-75.0,153,-73,89,-90,-89,-85,76,-58,-79,-38.625,-70.13719941480858,False,False
154,-75.0,154,-65,-83,-49,-69,-88,-72,-68,-87,-72.625,-72.66374394585638,False,False
155,-75.0,155,-85,-89,-41,-90,-89,-84,-84,-7,-71.125,-72.9166794238893,False,False
156,-75.0,156,-82,29,-90,-74,-78,-76,-76,-88,-66.875,-72.47592724895703,False,False
157,-75.0,157,-77,-88,-86,-75,-71,-12,-86,-89,-73.0,-74.3976030951518,False,False
158,-75.0,158,-65,3,-79,-84,-77,-81,-84,-81,-68.5,-70.80119432231608,False,False
159,-75.0,159,-73,-65,-81,64,-78,-79,-71,-87,-58.75,-70.38788124563459,False,False
160,-75.0,160,-81,-86,-86,-72,-87,-53,-32,-86,-72.875,-73.30558205418492,False,False
161,-75.0,161,-76,-77,-89,-70,-71,-63,-34,-83,-70.375,-70.62965427981636,False,False
162,-75.0,162,-51,-78,-81,-89,22,-87,-85,-84,-66.625,-71.05451223587542,False,False
163,-75.0,163,-46,-75,-48,-84,-83,-88,-75,-62,-70.125,-70.22033917433471,False,False
164,-75.0,164,-78,-58,-63,-90,81,-89,-72,-69,-54.75,-70.09229275881181,False,False
165,-75.0,165,-79,-83,-60,-34,-79,-84,-90,-76,-73.125,-73.47820830160046,False,False
166,-75.0,166,-87,-67,-90,-73,-59,-52,-47,-87,-70.25,-70.26931429396768,False,False
167,-75.0,167,-74,-89,-89,-84,-75,-87,47,-90,-67.625,-77.18071911163891,False,False
168,-75.0,168,-87,-89,-82,-84,-81,73,44,-89,-49.375,-70.86199719177131,False,False
169,-75.0,169,-78,-76,-83,-89,-50,-49,-82,-86,-74.125,-74.27866714758035,False,False
170,-75.0,170,-59,-79,-85,-83,-84,-72,-77,-66,-75.625,-75.64851210205049,False,False
171,-75.0,171,-21,-72,-73,-89,-67,-82,-85,-80,-71.125,-71.87290865588368,False,False
172,-75.0,172,-88,-78,53,-76,-81,-86,-67,-70,-61.625,-71.15936368752254,False,False
173,-75.0,173,-86,-87,-52,76,-85,-90,-86,-83,-61.625,-77.75841912559362,False,False
174,-75.0,174,-88,-54,-86,-90,-66,-51,-83,-74,-74.0,-74.07381017679292,False,False
175,-75.0,175,-41,-89,-77,-85,50,-89,-83,-88,-62.75,-72.00195898883354,False,False
176,-75.0,176,-87,-76,-87,75,80,-89,-84,-89,-44.625,-77.10211929799227,False,False
177,-75.0,177,-67,-90,-89,-77,-85,-47,-89,-10,-69.25,-70.51467310036738,False,False
178,-75.0,178,-46,-87,-85,-87,-69,-60,-89,78,-55.625,-70.40354778637811,False,False
179,-75.0,179,-58,83,-86,-86,-50,-89,-87,-69,-55.25,-71.4474031236546,False,False
180,-75.0,180,-83,-69,-66,-53,-78,-86,83,-85,-54.625,-70.62550979606348,False,False
181,-75.0,181,-53,-75,-81,-79,-61,-83,-84,-56,-71.5,-71.54136769943754,False,False
182,-75.0,182,70,-65,-53,-86,-74,-87,-86,-86,-58.375,-71.58533185286323,False,False
183,-75.0,183,-88,-78,-78,-80,-83,86,-84,-22,-53.375,-70.79566040887275,False,False
184,-75.0,184,-89,71,-62,-90,-80,-47,-83,-76,-57.0,-70.11023895544353,False,False
185,-75.0,185,-87,-75,-83,-65,-72,-70,-46,-87,-73.125,-73.21612431037721,False,False
186,-75.0,186,-87,-75,-79,-89,-70,-41,-68,-77,-73.25,-73.42298517316597,False,False
187,-75.0,187,-87,-63,-83,-89,-8,-87,-78,-81,-72.0,-73.62563403719423,False,False
188,-75.0,188,-69,-77,-80,-28,-73,-84,-80,-73,-70.5,-70.96453140327775,False,False
189,-75.0,189,-70,83,-71,-82,-57,-89,-76,-90,-56.5,-73.06904847607011,False,False
190,-75.0,190,-82,-63,-69,-88,-77,-57,-73,-73,-72.75,-72.75301764015198,False,False
191,-75.0,191,-68,-74,-82,-59,-47,-75,-81,-79,-70.625,-70.69858129965054,False,False
192,-75.0,192,-79,-83,-50,-88,-58,-68,-72,-71,-71.125,-71.15550187635424,False,False
193,-75.0,193,-88,-77,-79,-82,-90,-65,-89,85,-60.625,-79.19961868012729,False,False
194,-75.0,194,-71,-66,-54,-67,-75,-69,-81,-90,-71.625,-71.6166908589698,False,False
195,-75.0,195,-83,-84,84,-83,-83,-78,83,-88,-41.5,-76.66413743014637,False,False
196,-75.0,196,-73,-67,-82,-79,82,-56,-88,-78,-55.125,-70.96707767879306,False,False
197,-75.0,197,-90,-69,-38,-90,-86,-88,-84,-47,-74.0,-74.3476626486044,False,False
198,-75.0,198,-86,-78,-85,-90,77,-81,-49,-74,-58.25,-73.60043831005666,False,False
199,-75.0,199,-59,-83,-75,-79,54,-88,-87,-73,-61.25,-70.93335100184721,False,False
200,-75.0,200,78,-56,-81,-89,-74,-77,-73,-72,-55.5,-70.22203763584356,False,False
201,-75.0,201,-58,-81,-60,-75,-64,-67,-88,-70,-70.375,-70.35283534478873,False,False
202,-75.0,202,-75,-64,88,-78,-55,-87,-88,-79,-54.75,-72.38351582306025,False,False
203,-75.0,203,-82,-88,-82,84,-88,-43,-87,89,-37.125,-71.11667143869523,False,False
204,-75.0,204,-88,-83,-68,-70,-87,-56,66,-81,-58.375,-70.42798783566515,False,False
205,-75.0,205,-87,88,-81,-84,-89,-78,-71,-34,-54.5,-72.44921200800978,False,False
206,-75.0,206,-76,-77,-76,-77,-87,-86,16,-85,-68.5,-72.3316023458379,False,False
207,-75.0,207,-89,-62,-83,-66,-65,-85,-71,-61,-72.75,-72.72711168200544,False,False
208,-75.0,208,-83,-54,-81,-89,-88,-58,-82,-31,-70.75,-71.10358467064802,False,False
209,-75.0,209,-82,-80,-77,-58,-72,-44,-80,-69,-70.25,-70.35361237639972,False,False
210,-75.0,210,-70,-82,-67,-58,82,-87,-89,-88,-57.375,-73.9118693123031,False,False
211,-75.0,211,-86,-89,-47,-36,-89,-82,-88,-43,-70.0,-70.30714582024372,False,False
212,-75.0,212,-57,-85,-69,-87,-68,-66,-77,-86,-74.375,-74.38423456876765,False,False
213,-75.0,213,-79,-84,-80,-49,-89,-83,-32,-69,-70.625,-70.98988443381256,False,False
214,-75.0,214,-74,88,-90,-90,-66,-61,-62,-82,-54.625,-72.15106540219364,False,False
215,-75.0,215,-39,-86,-71,-87,-75,-86,-86,-72,-75.25,-75.52237066888753,False,False
216,-75.0,216,-89,76,-89,31,-76,-80,-87,-90,-50.5,-70.27624193207144,False,False
217,-75.0,217,-6,-71,-76,-90,-72,-81,-89,-68,-69.125,-70.64044941253276,False,False
218,-75.0,218,-21,-84,-79,-82,-65,-84,-71,-87,-71.625,-72.4090105058884,False,False
219,-75.0,219,-62,-82,-90,-71,-62,-75,-58,-72,-71.5,-71.47852217995307,False,False
220,-75.0,220,-76,-72,-34,-70,-70,-80,-87,-75,-70.5,-70.77585235029437,False,False
221,-75.0,221,-89,-86,-63,-69,-83,-84,-11,-72,-69.625,-70.82912695306091,False,False
222,-75.0,222,-87,-59,-68,-40,-90,-87,-89,-69,-73.625,-73.81051824953603,False,False
223,-75.0,223,-74,-66,-82,72,-84,-56,-85,-81,-57.0,-70.39506793166358,False,False
224,-75.0,224,-67,83,-88,-85,-72,-89,64,-89,-42.875,-70.3829131654146,False,False
225,-75.0,225,-77,-81,-45,-19,-74,-87,-89,-88,-70.0,-70.85333097182287,False,False
226,-75.0,226,-87,-51,-44,-89,-87,-90,87,-88,-56.125,-74.10055423895672,False,False
227,-75.0,227,-85,-89,-84,-88,-89,24,-90,-54,-69.375,-74.58212072279926,False,False
228,-75.0,228,-54,-72,-61,-89,-62,-70,-84,-82,-71.75,-71.7481702550359,False,False
229,-75.0,229,-80,-85,-32,-77,-82,-89,-63,-60,-71.0,-71.32578096324075,False,False
230,-75.0,230,-87,-71,-90,-19,-60,-61,-88,-87,-70.375,-71.12955076801299,False,False
231,-75.0,231,-82,-76,-84,-80,-75,-86,-55,-86,-78.0,-78.06944769337825,False,False
232,-75.0,232,-90,-87,-3,-81,-80,-61,-74,-79,-69.375,-71.1741255953516,False,False
233,-75.0,233,59,-79,-69,-62,-88,-89,-67,-85,-60.0,-70.58802405793347,False,False
234,-75.0,234,-77,-87,-36,-70,-82,-56,-84,-88,-72.5,-72.78462331145047,False,False
235,-75.0,235,-85,-59,-62,-77,-77,-81,-60,-66,-70.875,-70.87154718043759,False,False
236,-75.0,236,-81,-75,-54,-35,-77,-86,-76,-86,-71.25,-71.54207147435704,False,False
237,-75.0,237,-52,-89,-52,-71,-88,-88,-78,-42,-70.0,-70.09562380511687,False,False
238,-75.0,238,-42,-89,-58,-89,-79,-84,-83,-55,-72.375,-72.53152285088038,False,False
239,-75.0,239,73,-80,-83,-81,-74,-88,-73,-47,-56.625,-70.26666513786363,False,False
240,-75.0,240,-60,-54,-72,-88,89,-66,-86,-89,-53.25,-70.66119934604887,False,False
241,-75.0,241,-33,-89,-90,-86,-85,-83,-55,-40,-70.125,-70.51260088612088,False,False
242,-75.0,242,-84,-57,-78,-80,-72,-2,-86,-88,-68.375,-70.17621168525648,False,False
243,-75.0,243,-75,-84,-74,-89,-65,-84,-87,20,-67.25,-71.43822177136829,False,False
244,-75.0,244,-69,-84,-73,-71,-42,-76,-90,-90,-74.375,-74.53940918763796,False,False
245,-75.0,245,-44,-86,-44,-64,-75,-76,-84,-86,-69.875,-70.02694769776377,False,False
246,-75.0,246,88,-79,-59,-83,-90,-85,-75,-43,-53.25,-70.49287157685973,False,False
247,-75.0,247,87,-72,-73,-89,-90,-82,-28,-88,-54.375,-72.15342732449017,False,False
248,-75.0,248,-90,-78,-81,-58,79,-59,-83,-83,-56.625,-71.99918705772632,False,False
249,-75.0,249,-69,-67,-83,-72,-84,-82,-86,-37,-72.5,-72.7503437365844,False,False
250,-75.0,250,-87,-85,-70,-62,-87,-76,73,-86,-60.0,-74.58019476955907,False,False
251,-75.0,251,-60,-77,-70,-69,-83,-80,-86,-69,-74.25,-74.25482069151546,False,False
252,-75.0,252,-79,-55,-89,-90,-61,-90,-21,-84,-71.125,-71.8439868051331,False,False
253,-75.0,253,-19,-74,-79,-69,-90,-83,-89,-53,-69.5,-70.24490448458499,False,False
254,-75.0,254,-61,85,-64,-85,-86,-75,-77,-72,-54.375,-70.90652210168791,False,False
255,-75.0,255,-81,-83,-74,-77,-54,-77,-77,-84,-75.875,-75.93512612755612,False,False
256,-75.0,256,-85,-63,-57,-88,-71,80,-90,-79,-56.625,-72.28212893670009,False,False
257,-75.0,257,-86,-36,-85,-78,78,-84,-86,-82,-57.375,-73.05504926499482,False,False
258,-75.0,258,-88,-66,-66,-81,-75,-83,-78,-34,-71.375,-71.66539204513872,False,False
259,-75.0,259,76,-61,-89,-76,-86,-64,-78,-69,-55.875,-70.0691845551449,False,False
260,-75.0,260,-71,82,-72,-68,-89,-72,-74,-90,-56.75,-73.05612021150317,False,False
261,-75.0,261,-83,-60,-86,-80,-80,-68,-88,-57,-75.25,-75.28865447103826,False,False
262,-75.0,262,-47,58,-86,-88,-85,-71,-72,-89,-60.0,-70.39878876307877,False,False
263,-75.0,263,-85,-54,-83,-86,-79,-88,-75,-13,-70.375,-71.5424150367358,False,False
264,-75.0,264,-75,-72,85,-51,-87,-69,-84,-88,-55.125,-71.9348075609943,False,False
265,-75.0,265,-90,-61,-72,-66,-55,-72,-85,-75,-72.0,-71.98975249241563,False,False
266,-75.0,266,-75,-88,-56,-86,-54,-34,-77,-90,-70.0,-70.22940689038175,False,False
267,-75.0,267,89,-55,-70,-76,-72,-88,-88,-65,-53.125,-70.51369588014936,False,False
268,-75.0,268,-88,-75,-59,-72,-68,-71,-87,-48,-71.0,-71.03109039424405,False,False
269,-75.0,269,-52,-81,88,-87,-58,-82,-71,-81,-53.0,-70.07593218549042,False,False
270,-75.0,270,-59,-90,-78,-74,-80,-73,-53,-57,-70.5,-70.50387768646542,False,False
271,-75.0,271,-83,19,-62,-89,-78,-78,-80,-86,-67.125,-71.16285760922399,False,False
272,-75.0,272,-83,-83,47,-61,-87,-89,-90,-71,-64.625,-73.43765162722487,False,False
273,-75.0,273,-87,-90,-58,-80,-86,-28,-56,-74,-69.875,-70.26223542093965,False,False
274,-75.0,274,-71,-90,-4,-88,-71,-68,-80,-78,-68.75,-70.39646842617319,False,False
